record_id,year,round,event,session_id,driver_id,available_at,leader_lap,audio_url,audio_duration_seconds,model_id,library,library_version,device,compute_type,language_setting,detected_language,language_probability,beam_size,vad_filter,temperature,condition_on_previous_text,status,failure_reason,raw_transcript,normalized_transcript,segment_count,average_log_probability,maximum_no_speech_probability,processing_seconds,rss_mb_after,suspicious_flags
a4b32135bee93aff528d,2021,1,Bahrain Grand Prix,f1:2021:1:race,f1:DANRIC01,61.025,,https://livetiming.formula1.com/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-28_Race/TeamRadio/DANRIC01_3_20210328_152259.mp3,8.472,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," And Daniel, wind feedback. We've seen 30 kph tailwind braking for turn 13, so strength a little higher than qualifying.","And Daniel, wind feedback. We've seen 30 kph tailwind braking for turn 13, so strength a little higher than qualifying.",1,-0.32051346004009246,0.131820946931839,2.025418900000659,717.62890625,
e379bf084fef0c643829,2021,1,Bahrain Grand Prix,f1:2021:1:race,f1:MICSCH02,1880.665,,https://livetiming.formula1.com/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-28_Race/TeamRadio/MICSCH02_47_20210328_160015.mp3,10.008,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," Okay, make sure pit limiter is on, keep the pit limiter until the line, and remember, those rates start before the start. Have fun!","Okay, make sure pit limiter is on, keep the pit limiter until the line, and remember, those rates start before the start. Have fun!",3,-0.40872235634388066,0.11477603018283844,2.1514404000008653,721.3515625,
1cf6244e289cf4991d69,2021,1,Bahrain Grand Prix,f1:2021:1:race,f1:VALBOT01,2976.335,6,https://livetiming.formula1.com/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-28_Race/TeamRadio/VALBOT01_77_20210328_161858.mp3,7.632,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,, So the stopping ahead has got a problem with the diff. Everything to play with. Come on Valtry.,So the stopping ahead has got a problem with the diff. Everything to play with. Come on Valtry.,1,-0.35305255307601047,0.12560880184173584,2.031139599999733,719.50390625,
935cfc6715c26d86b3b7,2021,1,Bahrain Grand Prix,f1:2021:1:race,f1:CARSAI01,3711.677,13,https://livetiming.formula1.com/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-28_Race/TeamRadio/CARSAI01_55_20210328_163114.mp3,5.232,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,, How is my face? Face is still good.,How is my face? Face is still good.,2,-0.511361281077067,0.38021746277809143,1.8616712000002735,717.734375,
001f755456fb4a3ffaa1,2021,1,Bahrain Grand Prix,f1:2021:1:race,f1:LANNOR01,4625.025,23,https://livetiming.formula1.com/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-28_Race/TeamRadio/LANNOR01_4_20210328_164648.mp3,19.344,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," And Lando, how are the tyres? How are the tyres? Yeah, I can't hear you. Lando, mine out. Everything is fine from my side. Understood. I guess I have three tyres. Just a general drop-off on lap time.","And Lando, how are the tyres? How are the tyres? Yeah, I can't hear you. Lando, mine out. Everything is fine from my side. Understood. I guess I have three tyres. Just a general drop-off on lap time.",5,-0.31621503333250683,0.38870498538017273,2.7169298000007984,719.234375,
65176951b41734010473,2021,1,Bahrain Grand Prix,f1:2021:1:race,f1:FERALO01,5359.196,30,https://livetiming.formula1.com/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-28_Race/TeamRadio/FERALO01_14_20210328_165848.mp3,14.76,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," The deployment issue seems quite big. Yeah, copy that for now. We are aware, unfortunately, nothing we can do. Let's keep pushing.","The deployment issue seems quite big. Yeah, copy that for now. We are aware, unfortunately, nothing we can do. Let's keep pushing.",2,-0.37363657099860054,0.3560221493244171,2.238460299999133,723.578125,
b4504c321116794ed3bb,2021,1,Bahrain Grand Prix,f1:2021:1:race,f1:MAXVER01,6335.539,41,https://livetiming.formula1.com/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-28_Race/TeamRadio/MAXVER01_33_20210328_171436.mp3,8.016,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," OK, Hamilton last lap, 34.9, 34.9","OK, Hamilton last lap, 34.9, 34.9",1,-0.3424684423953295,0.1518789380788803,1.8180052999996406,719.33203125,
05dd996c421ffc8b7786,2021,1,Bahrain Grand Prix,f1:2021:1:race,f1:YUKTSU01,7067.525,48,https://livetiming.formula1.com/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-28_Race/TeamRadio/YUKTSU01_22_20210328_172726.mp3,10.008,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," You can stroll 5.6 in front, we are gonna catch him 2 laps to the end, so keep pushing, we get him.","You can stroll 5.6 in front, we are gonna catch him 2 laps to the end, so keep pushing, we get him.",2,-0.3568719806093158,0.3155245780944824,2.069673400001193,723.671875,
ec52b364072158e403a3,2021,1,Bahrain Grand Prix,f1:2021:1:race,f1:ANTGIO01,7985.458,56,https://livetiming.formula1.com/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-28_Race/TeamRadio/ANTGIO01_99_20210328_175636.mp3,30.36,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," Good job, Antonio, especially on the management side. We finished P12, Kimi P11. The top three have it, one first up and second on Bottas P3. Copy. Drive offline, please. Sorry? Drive offline, please. You","Good job, Antonio, especially on the management side. We finished P12, Kimi P11. The top three have it, one first up and second on Bottas P3. Copy. Drive offline, please. Sorry? Drive offline, please. You",6,-0.41266653643398693,0.8616241216659546,4.099787399998604,731.16015625,low_confidence
310beefb2cff2aedd802,2021,1,Bahrain Grand Prix,f1:2021:1:race,f1:SERPER01,7985.458,56,https://livetiming.formula1.com/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-28_Race/TeamRadio/SERPER01_11_20210328_175151.mp3,28.704,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," Fantastic recovery there Cheko, that's fantastic. Yeah, considering how we started the race, at least we got some good points there. Great recovery Cheko, very very strong drive, well done. Good job guys, nice start. I'm sorry Max didn't want the race, but it will come to us. Good start and it will only get better from now.","Fantastic recovery there Cheko, that's fantastic. Yeah, considering how we started the race, at least we got some good points there. Great recovery Cheko, very very strong drive, well done. Good job guys, nice start. I'm sorry Max didn't want the race, but it will come to us. Good start and it will only get better from now.",5,-0.20395789132721123,0.495574414730072,3.222782900000311,720.6328125,
60ff02552550ceacdd14,2024,1,Bahrain Grand Prix,f1:2024:1:race,f1:YUKTSU01,606.01,,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/YUKTSU01_22_20240302_141124.mp3,8.088,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,, You,You,1,-0.9196679592132568,0.729987382888794,1.8802981000008003,720.1953125,low_confidence
070ec2cab07ac3b116f2,2024,1,Bahrain Grand Prix,f1:2024:1:race,f1:PIEGAS01,3689.622,,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/PIEGAS01_10_20240302_150446.mp3,3.744,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," OK Pierre, front wing looks OK from our side.","OK Pierre, front wing looks OK from our side.",1,-0.35967452611242023,0.06891606748104095,1.8271563000016613,720.08203125,
b1c56a1f4f165175213b,2024,1,Bahrain Grand Prix,f1:2024:1:race,f1:OSCPIA01,4441.266,8,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/OSCPIA01_81_20240302_151715.mp3,4.848,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,, Oscar this pace is good you're faster than Lando and the Ferraris ahead,Oscar this pace is good you're faster than Lando and the Ferraris ahead,1,-0.2962962608588369,0.12527668476104736,1.9966240000030666,722.63671875,
4ce87c430c63376d8bb4,2024,1,Bahrain Grand Prix,f1:2024:1:race,f1:GEORUS01,5128.072,15,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/GEORUS01_63_20240302_152906.mp3,6.096,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," Guy, don't you need to advise me on what to do, I'm gonna pipe up all of this up for your maintenance.","Guy, don't you need to advise me on what to do, I'm gonna pipe up all of this up for your maintenance.",1,-0.6623423457145691,0.26392078399658203,2.095994999999675,725.0078125,
202806d2e08329702a94,2024,1,Bahrain Grand Prix,f1:2024:1:race,f1:SERPER01,5880.69,23,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/SERPER01_11_20240302_154111.mp3,3.288,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," That's it, faithful Max.","That's it, faithful Max.",1,-0.881794935464859,0.0938955545425415,1.76695120000295,733.515625,
bdb53de0cb61662f0801,2024,1,Bahrain Grand Prix,f1:2024:1:race,f1:LANNOR01,6533.145,30,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/LANNOR01_4_20240302_155225.mp3,11.28,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," OK Lando, suggest then. If I get ahead I won't be able to pitch a lot more. I just got in the state of the year. OK, suggest red a11 then red a11.","OK Lando, suggest then. If I get ahead I won't be able to pitch a lot more. I just got in the state of the year. OK, suggest red a11 then red a11.",2,-0.43869378976523876,0.23708030581474304,2.337829599997349,721.96484375,
01d1686be3a2f9127bca,2024,1,Bahrain Grand Prix,f1:2024:1:race,f1:NICHUL01,7388.408,38,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/NICHUL01_27_20240302_160615.mp3,6.456,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,, okay can we try and let him through before turn four and then he's got Sonoda 1.2 behind,okay can we try and let him through before turn four and then he's got Sonoda 1.2 behind,2,-0.2988580818529482,0.09119387716054916,1.9721480999978667,724.0,
3f178622c44fe5af07c2,2024,1,Bahrain Grand Prix,f1:2024:1:race,f1:LEWHAM01,8380.774,49,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/LEWHAM01_44_20240302_162302.mp3,2.424,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,, Jumping off.,Jumping off.,1,-0.7806516204561506,0.27957966923713684,1.7184063999993668,732.28125,
627f97ccf0d5a7fb5ac9,2024,1,Bahrain Grand Prix,f1:2024:1:race,f1:ALEALB01,9375.245,57,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/ALEALB01_23_20240302_164056.mp3,14.04,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," Joe very well today, next week. We didn't give you the car you needed there. Well done for juggling really exactly a number of issues at the right. We're going to get that right next week. Come back. The car isn't bad. We're just going to give you a proper package to work with.","Joe very well today, next week. We didn't give you the car you needed there. Well done for juggling really exactly a number of issues at the right. We're going to get that right next week. Come back. The car isn't bad. We're just going to give you a proper package to work with.",1,-0.2931764661401942,0.2572968304157257,2.8103723999993235,720.84765625,
db5ddd59bc986b6f80c1,2024,1,Bahrain Grand Prix,f1:2024:1:race,f1:VALBOT01,9375.245,57,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/VALBOT01_77_20240302_164213.mp3,2.136,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," Yeah, tough luck.","Yeah, tough luck.",1,-0.38132258877158165,0.20944616198539734,1.7816402000025846,731.70703125,
8bcc172f800623c510a4,2025,24,Abu Dhabi Grand Prix,f1:2025:24:race,f1:GEORUS01,1161.116,,https://livetiming.formula1.com/static/2025/2025-12-07_Abu_Dhabi_Grand_Prix/2025-12-07_Race/TeamRadio/GEORUS01_63_20251207_162402.mp3,10.68,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,, We'll be just after 5.30.,We'll be just after 5.30.,1,-0.7648722926775614,0.21119128167629242,1.7748673999994935,734.75390625,
1b43ac3bb8e7475fb7c6,2025,24,Abu Dhabi Grand Prix,f1:2025:24:race,f1:GABBOR01,3019.02,,https://livetiming.formula1.com/static/2025/2025-12-07_Abu_Dhabi_Grand_Prix/2025-12-07_Race/TeamRadio/GABBOR01_5_20251207_165505.mp3,1.632,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,, You,You,1,-0.6675626188516617,0.8640486598014832,1.6851617000029364,734.7578125,low_confidence
5bbfc3b54b34c8ee7635,2025,24,Abu Dhabi Grand Prix,f1:2025:24:race,f1:LANNOR01,3871.408,4,https://livetiming.formula1.com/static/2025/2025-12-07_Abu_Dhabi_Grand_Prix/2025-12-07_Race/TeamRadio/LANNOR01_4_20251207_170931.mp3,10.416,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," And we're happy with this as long as you're comfortable, this will be plan A target lap, plan A target lap.","And we're happy with this as long as you're comfortable, this will be plan A target lap, plan A target lap.",1,-0.41982001682807657,0.1389143317937851,2.1244673000001058,725.09765625,
ae858548b54923d2291b,2025,24,Abu Dhabi Grand Prix,f1:2025:24:race,f1:OSCPIA01,4180.754,7,https://livetiming.formula1.com/static/2025/2025-12-07_Abu_Dhabi_Grand_Prix/2025-12-07_Race/TeamRadio/OSCPIA01_81_20251207_171436.mp3,6.048,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,, Let's see if we can start putting this dappen under pressure.,Let's see if we can start putting this dappen under pressure.,1,-0.45927566952175564,0.031235529109835625,1.991058499999781,721.21484375,
4df79c5f836cfde079a0,2025,24,Abu Dhabi Grand Prix,f1:2025:24:race,f1:YUKTSU01,5370.942,20,https://livetiming.formula1.com/static/2025/2025-12-07_Abu_Dhabi_Grand_Prix/2025-12-07_Race/TeamRadio/YUKTSU01_22_20251207_173426.mp3,7.584,small.en,faster-whisper,1.2.1,cpu,int8,en,en,1.0,5,False,0.0,False,success,," Okay, we expect Norse to be your dearest within one lap, or you can when he catches.","Okay, we expect Norse to be your dearest within one lap, or you can when he catches.",1,-0.3988419796029727,0.2166561484336853,2.0429074999992736,723.93359375,
